trade_num,side,entry_sig,exit_sig,entry_price,exit_price,pnl_usd,pts,win,exit_class,conf,rsi,research_bucket
,,CR3_WL|c3|r57.4|a30.9|m-5.7|d-0.67|BA,WL_Exit,25411.5,25431.5,,0,true,Other,3,57.4,W_U_3+
,,CR3_WU|c2|r84.5|a44.8|m8.49|d1.27|BbO,WS_Exit,25555.25,25565.5,,0,false,Other,2,84.5,W_U_OB
,,CR3_WL|c2|r45.7|a40.6|m-7.76|d-0.73|BA,WL_Exit,25912.25,25894,,0,false,Other,2,45.7,W_U_2
,,CR3_WU|c2|r71.1|a39.7|m10.24|d0.73|BbO,WS_Exit,26136.25,26111.5,,0,true,Other,2,71.1,W_U_OB
,,CR3_WL|c3|r45.4|a33.7|m-12.15|d-1.2|BA,WL_Exit,26154.75,26127.25,,0,false,Other,3,45.4,W_U_3+
,,CR3_WU|c2|r76.1|a49|m1.24|d0.12|BbO,WS_Exit,26363.75,26343.75,,0,true,Other,2,76.1,W_U_OB
,,CR3_WU|c3|r72.2|a22.8|m3.49|d0.61|BbO,WS_Exit,26831.25,26851,,0,false,Other,3,72.2,W_U_OB
,,CR3_WL|c3|r38.5|a28.1|m-1.42|d0|RA,WL_Exit,26766.75,26786.75,,0,true,Other,3,38.5,W_U_3+
,,CR3_WL|c2|r48.7|a7|m-2.82|d-0.23|BA,WL_Exit,26720,26709.75,,0,false,Other,2,48.7,W_U_2
,,CR3_WL|c2|r44|a26.9|m-0.84|d-0.04|Ra,WL_Exit,26712.75,26693,,0,false,Other,2,44,W_U_2
,,CR3_WL|c3|r49.8|a18|m-6.04|d-0.57|BA,WL_Exit,26967.75,26987.75,,0,true,Other,3,49.8,W_U_3+
,,CR3_WL|c3|r53.9|a19|m-2.9|d-0.39|BA,WL_Exit,27024.75,27044.75,,0,true,Other,3,53.9,W_U_3+
,,CR3_WL|c3|r43.4|a23.9|m-1.73|d0.04|RA,WL_Exit,27194.25,27232.25,,0,true,Other,3,43.4,W_U_3+
,,CR3_WL|c2|r46.5|a17|m-3.84|d-0.51|BA,WL_Exit,27406.5,27393,,0,false,Other,2,46.5,W_U_2
,,CR3_L,Long_Exit,27170.75,27160.5,,0,false,Other,,,
,,CR3_WU|c3|r74.4|a32.1|m4.46|d0.69|BbO,WS_Exit,27213,27193,,0,true,Other,3,74.4,W_U_OB
,,CR3_WL|c2|r47.1|a22.1|m-6.9|d-1.05|Ba,WL_Exit,27157.25,27187,,0,true,Other,2,47.1,W_U_2
,,CR3_WL|c2|r42.9|a19.1|m-0.89|d0.04|Na,FlipExit,27191.75,27219.5,,0,true,Other,2,42.9,W_U_2
,,CR3_WL|c2|r46.9|a13|m-3.05|d-0.09|BA,WL_Exit,27372.25,27392.25,,0,true,Other,2,46.9,W_U_2
,,CR3_WU|c3|r70.4|a38|m-1.86|d0.18|BbO,WS_Exit,27614.75,27594.75,,0,true,Other,3,70.4,W_U_OB
,,CR3_WL|c2|r46.3|a20.4|m-11.43|d-1.55|NA,WL_Exit,27820.5,27840.75,,0,true,Other,2,46.3,W_U_2
,,CR3_WL|c3|r50.9|a21.5|m-4.88|d-0.33|BA,WL_Exit,28115.5,28105.25,,0,false,Other,3,50.9,W_U_3+
,,CR3_WL|c3|r50.3|a20.8|m-2.79|d-0.54|BA,WL_Exit,28162,28151.75,,0,false,Other,3,50.3,W_U_3+
,,CR3_WL|c2|r49.1|a10.4|m-5.21|d-0.24|BA,WL_Exit,28547.75,28527.5,,0,false,Other,2,49.1,W_U_2
,,CR3_WU|c3|r71.4|a24.9|m3.82|d0.74|BbO,WS_Exit,28649.25,28659.5,,0,false,Other,3,71.4,W_U_OB
,,CR3_WL|c3|r46.9|a19.6|m-9.2|d-1.27|BA,WL_Exit,28837,28784,,0,false,Other,3,46.9,W_U_3+
,,CR3_WL|c3|r38.6|a25.2|m2.76|d0.24|Ra,WL_Exit,28609.75,28599.5,,0,false,Other,3,38.6,W_U_3+
,,CR3_WL|c3|r50.6|a28.7|m-6.46|d-0.49|BA,WL_Exit,29265,29240.25,,0,false,Other,3,50.6,W_U_3+
,,CR3_WL|c2|r46.8|a23.7|m-3.81|d-0.58|Ba,WL_Exit,29316,29356,,0,true,Other,2,46.8,W_U_2
,,CR3_WL|c3|r47.3|a19.6|m-5.96|d-0.27|BA,WL_Exit,29413.75,29403.5,,0,false,Other,3,47.3,W_U_3+
,,CR3_WL|c4|r42.9|a19.2|m0.3|d0.13|RA,WL_Exit,29390.5,29380.25,,0,false,Other,4,42.9,W_U_3+
,,CR3_WL|c3|r28.2|a33.7|m-20.68|d-0.9|RaO,WL_Exit,28876.25,28914.25,,0,true,Other,3,28.2,W_U_3+
,,CR3_L,Long_Exit,29103.75,29123.75,,0,true,Other,,,
,,CR3_WU|c3|r81.1|a34.3|m13.75|d1.49|BbO,WS_Exit,29174,29128,,0,true,Other,3,81.1,W_U_OB
,,CR3_WL|c2|r45.1|a18.3|m-8.39|d-0.41|NA,WL_Exit,29475.75,29459.75,,0,false,Other,2,45.1,W_U_2
,,CR3_WL|c3|r54.8|a23|m-10.18|d-0.84|BA,WL_Exit,29732.25,29722,,0,false,Other,3,54.8,W_U_3+
,,CR3_WL|c2|r46.5|a9.1|m-1.79|d-0.21|BA,WL_Exit,29690.5,29680.25,,0,false,Other,2,46.5,W_U_2
,,CR3_WL|c3|r29|a33.6|m-19.59|d-1.02|RaO,WL_Exit,29155.5,29175.5,,0,true,Other,3,29,W_U_3+
,,CR3_S,Short_Exit,29081.25,29061.25,,0,true,Other,,,
,,CR3_WL|c2|r37|a32.4|m-2.58|d-0.03|Ra,WL_Exit,28909.75,28939,,0,true,Other,2,37,W_U_2
,,CR3_WL|c2|r39.6|a19.2|m-3.02|d-0.25|Ra,WL_Exit,28917,28866.5,,0,false,Other,2,39.6,W_U_2
,,CR3_WL|c3|r53.4|a24.1|m-13.98|d-0.79|BA,WL_Exit,29041,29015.25,,0,false,Other,3,53.4,W_U_3+
,,CR3_WL|c3|r42.2|a20.8|m-11.94|d-0.55|RA,WL_Exit,28924,28902.5,,0,false,Other,3,42.2,W_U_3+
,,CR3_WL|c3|r45.9|a22.6|m-15.42|d-1.01|BA,WL_Exit,29236.25,29226,,0,false,Other,3,45.9,W_U_3+
,,CR3_WL|c3|r47.5|a26.8|m-3.55|d-0.38|BA,WL_Exit,29326,29373.25,,0,true,Other,3,47.5,W_U_3+
,,CR3_S,Short_Exit,29240.5,29220.5,,0,true,Other,,,
,,CR3_WL|c2|r47.1|a28.8|m-21.67|d-1.44|NA,WL_Exit,29375.5,29398.5,,0,true,Other,2,47.1,W_U_2
,,CR3_WL|c2|r48|a17.5|m-8.48|d-0.79|BA,WL_Exit,29645,29665,,0,true,Other,2,48,W_U_2
,,CR3_WL|c2|r45.5|a18.4|m-5.29|d-0.64|NA,WL_Exit,29654.75,29644.5,,0,false,Other,2,45.5,W_U_2
,,CR3_WL|c3|r28.3|a23.6|m-5.55|d-2.09|RaO,WL_Exit,29913.75,29933.75,,0,true,Other,3,28.3,W_U_3+
,,CR3_WL|c3|r47.1|a23.5|m-13.6|d-1.85|BA,WL_Exit,29998.25,29988,,0,false,Other,3,47.1,W_U_3+
,,CR3_WU|c3|r70.9|a26.8|m4.33|d0.94|BbO,WS_Exit,30098,30078,,0,true,Other,3,70.9,W_U_OB
,,CR3_WL|c2|r44.6|a22.9|m-5.72|d-0.97|NA,WL_Exit,30042.25,30062.25,,0,true,Other,2,44.6,W_U_2
,,CR3_WL|c3|r36.8|a39.2|m2.06|d0.37|Ra,WL_Exit,29923.75,29951.5,,0,true,Other,3,36.8,W_U_3+
,,CR3_WU|c3|r70|a45.7|m-4.39|d0.09|BbO,WS_Exit,30326.5,30306.5,,0,true,Other,3,70,W_U_OB
,,CR3_WL|c3|r48.6|a22.1|m-6.74|d-0.56|BA,WL_Exit,30295.5,30285.25,,0,false,Other,3,48.6,W_U_3+
